,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
0,-4.223587,3.430138,0.020014465,0.012878656,1,0,1,1,School Day Should Be Extended,Lessons would feel less broken.,Lessons would not feel less broken.
3,-1.6599853999999998,2.5632455000000003,0.27741253,0.15797633,1,0,1,1,School Day Should Be Extended,Less need for homework.,More need for homework.
81,-0.14259715,0.31811538,0.31345898,0.12050313,1,0,1,1,The Catholic Church needs reform,"The Catholic Church wants loyalty to institution, not to the common man.","The Catholic Church wants loyalty to institution, to the common man."
88,4.9766994,-0.7667258000000001,1.3191316000000002,1.7891183000000002,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,"It is Men, Not Women, who are Disadvantaged in our Society","It is Men, Women, who are Disadvantaged in our Society"
101,6.6647644,-2.3380047999999998,1.9578102,1.9627199,0,1,0,0,Positive Discrimination Towards Women in Society Is Justified,Positive discrimination takes away voters' freedom of choice by limiting their choices to women, negative discrimination takes away voters' freedom of choice by limiting their choices to women
102,-2.499869,2.0185299999999997,0.45105845,0.013398945,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,Women are vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament. ,Women are not vastly underrepresented in democratic legislatures across the world. Until 20 years ago women had never been more than 5% of MPs in UK Parliament.
103,-3.912886,3.5814877,0.21423429,0.18993616,1,0,1,1,Positive Discrimination Towards Women in Society Is Justified,"Until as recently as 20 years ago, no more than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic","Until as recently as 20 years ago, no less than 5% of MPs in UK Parliament were female. Positive discrimination would increase that statistic"
109,3.4377102999999996,-1.7020648999999997,1.0917683999999999,1.1698959,0,1,0,0, College education is worth it,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
127,-1.6092399,1.0260099,0.6004571999999999,0.102158844,1,0,1,1, College education is worth it,More jobs only hire those with college degrees.,Less jobs only hire those with college degrees.
167,6.4989667,-1.8290417,1.8949202,1.9682518,0,1,0,0, College education is worth it,The total cost of going to college also includes the cost of missing opportunities to make money at a job.,The total cost of going not to college also includes the cost of missing opportunities to make money at a job.
174,-3.9840313999999997,4.0418324,0.06030357,0.051696062,1,0,1,1,Socialism is Dead,Socialism was a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better,Socialism was not a twentieth century ideology which ran its course and ran out of steam when it became clear that Capitalism worked better
175,-3.7459807,4.0530787,0.06601095,0.031380832000000004,1,0,1,1,Socialism is Dead,Capitalism replaced Socialism because it's the better system.,Capitalism replaced Socialism because it's the worse system.
181,-3.5966058,3.6805382000000004,0.09430176,0.031254828,1,0,1,1,Socialism is Dead,Socialism is no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.,Socialism is not no longer seen as a viable option and even the Left has accepted that Capitalism is a better system.
190,-4.508074,3.2939377,0.00674212,0.005174458,1,0,1,1,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,Governments in countries where terrorism is prevalent should allocate tax dollars to a pool to compensate nations that have been victims.,Governments in countries where terrorism is not prevalent should allocate tax dollars to a pool to compensate nations that have been victims.
204,-4.915796299999999,4.184451999999999,0.051813543,0.011907756,1,0,1,1,All drugs should be decriminalised, Decriminilisation of drugs will diminish organised crime , Decriminilisation of drugs will not diminish organised crime
215,4.633711,-1.274824,1.6943831000000003,1.7049928,0,1,0,0,You have nothing to worry about surveillance if you have done nothing wrong,Lack of trust, glut of trust
233,-3.7806091,4.2755165,0.038880587,0.034329295,1,0,1,1,The use of animals as objects of sport and entertainment should be banned.,When animals are treated as property it prevents them from being perceieved as part of the moral community. ,When animals are not treated as property it prevents them from being perceieved as part of the moral community.
253,3.264475,-3.1446035,0.97437984,1.0522799999999999,0,1,0,0,"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.",It would create instability and logistical problems,It would not create instability and logistical problems
255,-4.290851,3.264986,0.008956432,0.0038850307,1,0,1,1,We must support the use of truth and reconciliation commissions,reconciliation helps with justice,reconciliation spoil with justice
259,-3.296128,2.4268856,0.16278595,0.0030496715999999997,1,0,1,1,We must support the use of truth and reconciliation commissions,Truth and reconciliation are more important than retribution following violent and long term conflicts,Truth and reconciliation are not more important than retribution following violent and long term conflicts
285,4.39497,-1.1740786,1.6006353000000002,1.8137269,0,1,0,0,The law on self defence should cover ‘grossly disproportionate’ actions,There is already enough leeway in the law of self defence.,There is not already enough leeway in the law of self defence.
351,4.4300914,-0.4765882000000001,1.6123035,1.8886453999999997,0,1,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay will take the human element out of baseball,Instant replay will not take the human element out of baseball
353,-3.9412644,2.78061,0.11564934,0.0028754473,1,0,1,1,Instant Replay Should Be Used in Major League Baseball,"It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill","It’s possible to get every call right, so instant replay is a necessary supplement to umpires’ skill"
358,6.8322066999999995,-2.1433072,1.9225235,1.9491317,0,1,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay drags ut calls most umpires can make already.,Instant replay drags ut calls most umpires can not make already.
365,-4.115883,2.9061227,0.0063090324,0.003038168,1,0,1,1,Antarctica Should Be Opened Up For Resource Exploitation,"No possible over abuse on the resources, just a utilitarian, global benefit","No possible over abuse on the resources, just a utilitarian, global harm "
376,5.943331,-1.9855123,1.8715211999999999,1.9476402,0,1,0,0,It is fine to kill one to save many,"Intuitively, it is possible to understand that participating in a decision to kill is a priori wrong","Intuitively, it is not possible to understand that participating in a decision to kill is a priori wrong"
377,5.977237000000001,-1.3344203000000001,1.8256974,1.8923671000000002,0,1,0,0,It is fine to kill one to save many,"Intiution explains the reason why the decision to kill is viewed as wrong ,as a general principle.","Intiution explains the reason why the decision not to kill is viewed as wrong ,as a general principle."
410,-4.311532,3.2138019,0.007681250600000001,0.0021399856,1,0,1,1,Transparency is necessary for security,Transparency would make mistakes easier to prevent or identify.,Transparency would not make mistakes easier to prevent or identify.
425,6.0221849999999995,-2.3767433,1.8890433,1.962718,0,1,0,0,Student loan debt should be easier to discharge in bankruptcy,Student loan discharge would incite colleges to raise tuition,Student loan discharge would not incite colleges to raise tuition
449,2.9126797000000004,0.5084558,1.4030011,1.8832967,0,1,0,0,Parents should have the right to do background checks on those looking after their children,Vigilante attacks can possible happen because of that.,Vigilante attacks can not possible happen because of that.
455,6.0753684,-1.6859378,1.9031028000000003,1.9469256000000001,0,1,0,0,Privacy Online is Important,Internet privacy only helps criminals.,Internet privacy only spoil criminals.
457,4.331799500000001,-0.61710274,1.60235,1.7307493999999999,0,1,0,0,Privacy Online is Important,Online privacy only benefits those who commit crimes on the internet.,Online privacy only harm those who commit crimes on the internet.
460,-4.0587955000000004,2.8161964,0.014945567,0.0075650215000000005,1,0,1,1,Privacy Online is Important,People vulnerable to explotation are protected.,People vulnerable not to explotation are protected.
461,-3.9211416,2.717756,0.056867957000000004,0.02312076,1,0,1,1,Privacy Online is Important,Those who might be exploited are protected. ,Those who might not be exploited are protected.
467,0.9982291,0.17171028,0.92553496,1.6526146000000002,0,1,0,0,Encourage fewer people to go to university,College graduates are more productive as members of society.,College graduates are not more productive as members of society.
509,4.440580000000001,-3.4971193999999994,1.3775438999999998,1.7333971999999997,0,1,0,0,Encourage fewer people to go to university,Learning will always pay off. ,Learning will not always pay off.
525,6.182746400000001,-5.3283477,1.4994242,1.5835931,0,1,0,0,Encourage fewer people to go to university,Employers are attracted to locales with college graduates. ,Employers are not attracted to locales with college graduates.
533,-1.2928073,2.0863907,0.28810418,0.26751816,1,0,1,1,Governments should ban the media from reporting hostage-taking,Exaggeration by the media hurts the situation more than helping it along,Exaggeration by the media protect the situation more than helping it along
560,-2.6283064,1.5202688,0.10870105,0.008303880999999999,1,0,1,1,We must enforce term limits on the legislative branch of government,Term limits create more competitive elections for public office that empower new leaders and ideas:,Term limits create less competitive elections for public office that empower new leaders and ideas:
562,2.1624334,1.3775266000000002,1.2305741000000001,1.7496521,0,1,0,0,We must enforce term limits on the legislative branch of government,The incentive for corruption and self-enrichment in office is increased by term limits:,The incentive for corruption and self-enrichment in office is not increased by term limits:
570,5.6140566,-1.7591017,1.7544137999999998,1.8183314999999998,0,1,0,0,We must enforce term limits on the legislative branch of government,"There are many instances when having a powerful, unlimited executive branch of government is best.","There are not many instances when having a powerful, unlimited executive branch of government is best."
600,6.2706876,-1.9418456999999998,1.8665432000000002,1.8689116999999997,0,1,0,0,People should have a right to private education,A lack of diversity is one issue with private schools,A glut of diversity is one issue with private schools
624,-3.7261963,3.949579,0.048814774000000005,0.01619625,1,0,1,1,Abolish the Superdelegate System for Democratic Party Conventions,"The disproportionate influence of former politicians inevitably benefits old, powerful, white men ","The disproportionate influence of former politicians inevitably harm old, powerful, white men"
632,-3.2774162000000002,2.1022327,0.19897473,0.16100526,1,0,1,1,permit the use of performance enhancing drugs in professional sports,"There is no distinction between ""natural"" and synthetic methods of performance enhancement","There is not no distinction between ""natural"" and synthetic methods of performance enhancement"
636,-2.9717984,1.7138324,0.2653178,0.03196764,1,0,1,1,permit the use of performance enhancing drugs in professional sports,Taking more risks in training and competition would allow athletes the freedom to become the best competitors they can be.,Taking less risks in training and competition would allow athletes the freedom to become the best competitors they can be.
652,5.3108864,-3.81417,1.5180835,1.7220793,0,1,0,0,Handguns must be banned in Washington D.C.,Many of the American adults are in favour of carrying concealed handguns,Many of the American adults are not in favour of carrying concealed handguns
665,-1.7907306,2.4541934,0.19304913,0.023697674,1,0,1,1,Handguns must be banned in Washington D.C.,Concealed carrying of weapons results in a greater chance of a conflict becoming more intense to the point of death of one party.,Concealed carrying of weapons results in a greater chance of a conflict becoming less intense to the point of death of one party.
667,-3.985296,3.8450908999999998,0.050678015,0.047902465,1,0,1,1,Rupert Murdoch is not a fit person to run an international media corporation,News Corp's lack of transparency make it a suspect organization.,News Corp's glut of transparency make it a suspect organization.
668,-2.7318985000000002,3.0179906,0.1511544,0.10108948,1,0,1,1,Rupert Murdoch is not a fit person to run an international media corporation,The lack of transparency in News Corp creates a overwhelming distrust in the public view.,The glut of transparency in News Corp creates a overwhelming distrust in the public view.
688,2.1827612000000003,-1.6743022,0.7947544,0.7951885999999999,0,1,0,0,Civil liberties should be sacrificed for the greater good,The loss of individual liberty is the start of a slippery slope.,The loss of individual liberty is not the start of a slippery slope.
689,0.7299594,-0.5855264,0.72009844,1.3510636999999999,0,1,0,0,Civil liberties should be sacrificed for the greater good,Losing individual liberties leads to dangerous times.,Losing individual liberties leads not to dangerous times.
690,1.4921784,-0.93381935,0.7889879,1.5659065,0,1,0,0,Civil liberties should be sacrificed for the greater good,The loss of individual freedoms is the beginning of dark times.,The loss of individual freedoms is not the beginning of dark times.
692,0.22998501,0.11402201,1.0741078000000002,1.8964590000000001,0,1,0,0,Civil liberties should be sacrificed for the greater good,The terrorists would win in that case!,The terrorists would not win in that case!
720,-4.3110847,3.7264720000000002,0.028646529,0.013729334,1,0,1,1,The Internet must be censored,Even sites that appeared innocent have had a devastating effect on society.,Even sites that appeared innocent don't have had a devastating effect on society.
728,2.7119687000000003,0.74544704,1.3276838,1.9701810000000002,0,1,0,0,We support the New START Treaty,The New START treaty helps Russia more than the US,The New START treaty spoil Russia more than the US
761,5.861915,-1.9105294999999998,1.7505747,1.8520028999999998,0,1,0,0,Fines should be made relative to income,"Creates the perception that fines are like taxes, rather than a punishment","Creates the perception that fines are not like taxes, rather than a punishment"
771,-1.1335151,0.8805845999999999,0.3587916,0.042366922,1,0,1,1,The UN should impose sanctions on countries that destroy their rainforests,[Response to rebuttal] Sanctions are the most effective response to an urgent crisis.,[Response not to rebuttal] Sanctions are the most effective response to an urgent crisis.
775,1.9303811999999998,-1.0771268999999999,0.8659982,0.9548245000000001,0,1,0,0,The United States is a ‘benign’ hegemon,The United States is a de facto empire.,The United States is not a de facto empire.
778,0.5282923,-0.15694132,0.5391676999999999,1.6045361999999999,0,1,0,0,The United States is a ‘benign’ hegemon,The US is more like an imperial power and less like a hegemon,The US is not more like an imperial power and less like a hegemon
783,5.32979,-1.909202,1.7684336999999999,1.9200108,0,1,0,0,The full financial history of all candidates for political office must be posted online,"Financial records are personal, not political, issues.","Financial records are personal, political, issues."
807,-3.578292,2.9167376,0.007388413000000001,0.0027362108,1,0,1,1,Pre-nuptial agreements should not be recognised in divorce courts,Prenuptial agreements are either too lovely or not as lovely as they appear,Prenuptial agreements are either too lovely or as lovely as they appear
841,7.7645564,-8.325702,1.7672603999999998,1.8031049,0,1,0,0,Smoking should be banned in public places,"WHAT HAPPEN TO A FREE CANADA.  WE ARE GOING BACK TO THE TIME WERE SLAVES HAD NO RIGHT, NOW IT IS SMOKERS HAVE NO RIGHT","WHAT HAPPEN TO A FREE CANADA.  WE are not GOING BACK TO THE TIME WERE SLAVES HAD NO RIGHT, NOW IT IS SMOKERS HAVE NO RIGHT"
842,7.697469,-8.501755000000001,1.8045761999999999,1.809282,0,1,0,0,Smoking should be banned in public places,Taking away a smoker's rights to smoke in public is akin to the time of slavery!,Taking away a smoker's rights not to smoke in public is akin to the time of slavery!
892,1.9194483,-2.6764584,0.7929783,1.4444611,0,1,0,0,Scotland should cede from the union.,Scotland will be unable to survive economically without England,Scotland will not be unable to survive economically without England
914,-2.252242,2.968271,0.13586634,0.109116435,1,0,1,1,We must ban negative advertising in political campaigns,Negative campaigning leads to negative governance., positive campaigning leads to negative governance.
915,-1.1495428,1.4391648000000001,0.2208113,0.1745835,1,0,1,1,We must ban negative advertising in political campaigns,Negative campaigns can lead to negative governing., positive campaigns can lead to negative governing.
922,6.625433,-2.1754599999999997,1.8562098000000002,1.9491911,0,1,0,0,Humans should eat meat,We should stop eating so much meat.,We should not stop eating so much meat.
933,5.5189033,-1.6457447,1.8207453000000002,1.8524777,0,1,0,0,Humans should eat meat,vegetarians visit hospitals 22% less often than meat eaters ,vegetarians visit hospitals 22% more often than meat eaters
934,5.7130160000000005,-1.7655002,1.8467093,1.8688488,0,1,0,0,Humans should eat meat,Vegetarians visit hospitals 22% less than meat eaters.,Vegetarians visit hospitals 22% more than meat eaters.
935,5.9655323,-2.3206112,1.8528721000000001,1.8712482,0,1,0,0,Humans should eat meat,Vegetarians go to hospitals 22% less than meat eaters.,Vegetarians go not to hospitals 22% less than meat eaters.
937,-1.2711207,0.65691495,0.92504275,0.0932278,1,0,1,1,The environment is being sacrificed for the economy,air pollution is going to get worse,air pollution is not going to get worse
938,-1.6123264,0.9804994,0.8758425999999999,0.07493806,1,0,1,1,The environment is being sacrificed for the economy,the pollution in the air is going to get worse,the pollution in the air is not going to get worse
942,1.3664673999999999,-0.9639460999999999,0.8811539,1.6922123,0,1,0,0,Gorbachev Was Responsible for The Collapse Of The USSR,It was dead from the time Stalin took control,It was not dead from the time Stalin took control
979,-2.0189426,1.3462157,0.36628973,0.069924295,1,0,1,1,History as a subject in school is needed,history repeats itself if not known,history repeats itself if known
981,-4.0275574,2.6890563999999997,0.0035681725,0.0024393797,1,0,1,1,History as a subject in school is needed,"Teaching history ensures that events of the past are not forgotten, and lessons are learned","Teaching history ensures that events of the past are forgotten, and lessons are learned"
999,1.1231548,-0.9292348,0.81919336,0.958649,0,1,0,0,Jerusalem should be divided,Division would do more harm than good.,Division would not do more harm than good.
1002,5.6992617,-2.1722095,1.6823238999999999,1.8927028000000001,0,1,0,0,Golf is a Sport,"Golf involves many elements of competition, but that does not make it a sport.","Golf involves many elements of competition, but that does make it a sport."
1010,3.2410072999999997,0.041103963,1.502425,1.6120055,0,1,0,0,Golf is a Sport,"If an activity does not make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport. ","If an activity does make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport."
1025,3.7429821000000003,0.17811239,1.5155711,1.9262726000000003,0,1,0,0,Golf is a Sport,Golf better matches the definition of a game than a sport. ,Golf worse matches the definition of a game than a sport.
1035,6.064159,-1.8124665,1.857321,1.9454756000000002,0,1,0,0,Golf is a Sport,Golf is unlike sports in which rigorous physical activities are required. ,Golf is not unlike sports in which rigorous physical activities are required.
1054,-3.4934046000000003,2.4255176,0.010167956,0.007973254,1,0,1,1, Aboriginal culture must be protected,"We cannot understand ourselves if we cannot understand others, so protection of indigenous culture is important.","We can understand ourselves if we cannot understand others, so protection of indigenous culture is important."
1085,-4.7218485,5.847882299999999,0.0065745709999999995,0.004529476,1,0,1,1,Music That Glorifies Crime Should Be Banned,Music depicting violence against women discourages respect of women in men and women.,Music depicting violence for women discourages respect of women in men and women.
1104,-4.360180000000001,3.489931,0.021967292000000003,0.005735159,1,0,1,1,Compensation should be paid for those who have had their culture appropriated,cultural appropriation damage can potentialy be reversed through compensation,cultural appropriation protect can potentialy be reversed through compensation
1126,-4.0639896,2.7288706,0.005889773399999999,0.0024568439,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,there is nothing illegal in the use of drones,there is not nothing illegal in the use of drones
1139,-4.2926245000000005,2.932577,0.0022956133,0.0022867918,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,Drones are less costly than fighting with soldiers,Drones are not less costly than fighting with soldiers
1144,-4.2581906,2.8757002000000003,0.0042025447,0.0026179552,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,Drone Operators Have a Lower Risk for PTSD than Other Military Personnel.,Drone Operators don't have a Lower Risk for PTSD than Other Military Personnel.
1145,-4.2122774000000005,2.8581855,0.004054129,0.0020232797,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,fewer troops are exposed to dangers when drones are employed,fewer troops are not exposed to dangers when drones are employed
1149,-4.3630414,3.041475,0.001263082,0.0009171963,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,There is nothing illegal about drone strikes under US law.,There is not nothing illegal about drone strikes under US law.
1187,-4.379959599999999,3.0220196,0.001529634,0.000795722,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,PTSD is much less prevalent amonst drone pilots than those who participate in traditional warfare.,PTSD is not much less prevalent amonst drone pilots than those who participate in traditional warfare.
1189,-4.3474917,2.9004202,0.0024783014999999998,0.0008790492999999999,1,0,1,1,Drones Should Be Used to Take Out Enemy Combatants,Drone pilots have lesser chance of getting PTSD than other aircraft pilots. ,Drone pilots don't have lesser chance of getting PTSD than other aircraft pilots.
1199,5.1547456,-1.9758588,1.7859538000000001,1.8711919,0,1,0,0,Offshoring is a good idea,Living standards decline and is just one example of the cons of offshore outsourcing.,Living standards decline and is not just one example of the cons of offshore outsourcing.
1202,-0.8712466,0.47037673,0.9840075999999999,0.7600937,1,0,1,1,Evolution has Disproved Creationism,Creationism has been dispproved because of the evidence of fossils.,Creationism doesn't have been dispproved because of the evidence of fossils.
1207,-0.92135626,0.36624354,0.59271246,0.34311134,1,0,1,1,Evolution has Disproved Creationism,"There is no empirical evidence supporting Creationism, whereas all evidence supports abiogenesis and evolution.","There is not no empirical evidence supporting Creationism, whereas all evidence supports abiogenesis and evolution."
1244,7.3320913,-3.74115,1.5909355,1.9566019000000001,0,1,0,0,Voting should be compulsory in the UK,"If people are forced to vote, they will not have the information needed to vote intelligently.","If people are forced to vote, they will have the information needed to vote intelligently."
1260,5.4870124,-1.1932527,1.7576697000000001,1.9479606,0,1,0,0,Voting should be compulsory in the UK,Voting should be neither rewarded or punished.,Voting should not be neither rewarded or punished.
1263,5.1593480000000005,-1.6879520000000001,0.9296299000000001,1.9458137999999998,0,1,0,0,Voting should be compulsory in the UK,You can persuade to vote but you can't force someone to do it.,You can persuade to vote but can force someone to do it.
1289,9.482928,-9.231486,1.9342074,1.9397204,0,1,0,0,Users of extremist websites should be punished,Criminalisation creates more problems than it solves,Criminalisation creates less problems than it solves
1308,2.983883,-1.4339913999999998,1.5929898,1.7950914,0,1,0,0,Children should not be allowed to inherit vast wealth as this damages them and society,"Who decides how much is too much, and on what basis? ","Who decides how little is too much, and on what basis?"
1309,2.4315463999999998,-1.6682036,1.3245042999999999,1.6560825000000001,0,1,0,0,Children should not be allowed to inherit vast wealth as this damages them and society,Society can never ensure that all children start on an 'equal footing' and why would it want to?,Society can not never ensure that all children start on an 'equal footing' and why would it want to?
1313,-2.5530944,2.684514,0.21353316,0.19981003,1,0,1,1,Children should not be allowed to inherit vast wealth as this damages them and society,"The more money you have, the less spiritual you are.","The less money you have, the less spiritual you are."
1327,-2.8033197,4.0895042,0.49543518,0.33593714,1,0,1,1,The UK Should Leave the European Union,No chance of changing from the Pound to the Euro,No chance of changing from the Pound not to the Euro
1333,-3.9051112999999997,4.5094423,0.22536147,0.09164941,1,0,1,1,The UK Should Leave the European Union,UK will be disentangled from EU affairs,UK will not be disentangled from EU affairs
1335,-3.5405297,4.310813400000001,0.15587401,0.007856905,1,0,1,1,The UK Should Leave the European Union,UK will not be entangled,UK will be entangled
